movieId,title,genres
1083095,Lee Daniels' The Butler [Blu-ray] [Eng/Fre/Spa] [2013],Drama
1083119,August: Osage County [Blu-ray] [Eng/Fre/Spa] [2013],Comedy
1083173,The Zero Theorem [Blu-ray] [English] [2013],Sci-Fi
1083475,Flash Gordon [Saviour of the Universe Edition] [DVD] [English] [1980],Action and Adventure
1085322,Hamlet [DigiBook] [Blu-ray] [Eng/Fre/Spa] [1996],Drama
1085604,City Island [Blu-ray] [English] [2009],Comedy
1085704,UFC 115: Liddell vs. Franklin [2 Discs] [DVD] [Eng/Spa] [2010],Sports
1085722,Abandoned [DVD] [English] [2010],Drama
1085759,Abandoned [Blu-ray] [English] [2010],Drama
10859662,Turandot [DVD] [Eng/Fre/Ger/Ita] [1998],Music DVDs
1085977,Solitary Man [Blu-ray] [English] [2009],Comedy
1085986,UFC 116: Lesnar vs. Carwin [DVD] [2010],Sports
1085995,Billy Blanks: This Is Tae Bo [DVD] [English] [2010],Diet Health and Fitness
1086002,Gangster's Paradise: Jerusalema [DVD] [2008],Drama
1086011,10 Minute Solution: Pilates for Beginners [DVD] [English] [2010],Diet Health and Fitness
1086039,Frozen [Blu-ray] [Eng/Spa] [2010],Horror
1086057,Solitary Man [DVD] [English] [2009],Comedy
1086075,Frozen [DVD] [Eng/Spa] [2010],Horror
1089319,Unleashed [Rated/Unrated] [Blu-ray] [English] [2005],Action and Adventure
1089328,Bring It On: Cheertastic 3-Movie Pack [WS] [2 Discs] [DVD],Comedy
1089337,Black Dahlia [Blu-ray] [Eng/Fre] [2006],Drama
10893562,Tactical Assault [DVD] [1998],Action and Adventure
1089424,The Skeleton Key [Blu-ray] [Eng/Fre] [2005],Drama
1089442,Mercury Rising [Blu-ray] [Eng/Fre] [1998],Action and Adventure
1089479,Coraline [DVD] [Eng/Fre/Spa] [2009],Fantasy
10920346,"The Wonderful, Horrible Life of Leni Riefenstahl [DVD] [1993]","Documentary, Special Interests"
10930077,The Girl Next Door [DVD] [English] [1998],Drama
10930111,Big City Blues [DVD] [English] [1999],Action and Adventure
10930148,Hitman's Run [DVD] [English] [1999],Drama
10932119,Shaolin Avengers (DVD),Action and Adventure
10932235,First Option [DVD] [Cantonese/Eng/Mandarin] [1997],Action and Adventure
10932333,The Occupant [DVD] [Cantonese/Mandarin] [1984],Horror
10932388,Jackie Chan's Project A 2 [DVD] [Cantonese/Chi/Mandarin] [1987],Action and Adventure
10932486,Wild Search [DVD] [1990],Drama
10932681,In the Line of Duty 5 [DVD] [1990],Action and Adventure
10933056,Hommage A Noir [DVD] [1997],Drama
1094208,4 Complete Ed Sullivan Shows Starring the Beatles [DVD],Pop
10951767,Linnea in Monet's Garden [DVD] [English] [1992],Childrens and Family
10951776,Like It Is [DVD] [1998],Drama
